Year,Index,Dividends,Riskfree,LogEqPrem,BookMarket,NTIS,DivPrice,EarnPrice,Inflation
1927,17.660,0.770,0.032,0.281,0.375,0.074,-3.133,-2.767,-0.021
1928,24.350,0.850,0.043,0.314,0.260,0.043,-3.355,-2.870,-0.010
1929,21.450,0.970,0.030,-0.112,0.338,0.166,-3.096,-2.589,0.002
1930,15.340,0.980,0.015,-0.288,0.555,0.132,-2.751,-2.761,-0.061
1931,8.120,0.820,0.024,-0.564,1.171,-0.011,-2.293,-2.589,-0.096
1932,6.890,0.500,0.000,-0.095,1.442,-0.004,-2.623,-2.822,-0.104
1933,10.100,0.440,0.003,0.422,0.829,0.007,-3.134,-3.134,0.004
1934,9.500,0.450,0.002,-0.017,0.774,0.022,-3.050,-2.965,0.020
1935,13.430,0.470,0.002,0.379,0.560,0.010,-3.353,-2.872,0.030
1936,17.180,0.720,0.001,0.286,0.459,0.024,-3.172,-2.824,0.012
1937,10.550,0.800,0.001,-0.416,0.707,0.027,-2.579,-2.234,0.031
1938,13.210,0.510,0.000,0.262,0.572,0.005,-3.254,-3.027,-0.028
1939,12.490,0.620,0.000,-0.008,0.581,0.003,-3.003,-2.630,-0.005
1940,10.580,0.670,0.000,-0.105,0.729,0.029,-2.759,-2.310,0.010
1941,8.690,0.710,0.003,-0.122,0.890,-0.004,-2.505,-2.014,0.097
1942,9.770,0.590,0.004,0.172,0.863,0.002,-2.807,-2.250,0.092
1943,11.670,0.610,0.004,0.225,0.787,0.015,-2.951,-2.519,0.031
1944,13.280,0.640,0.004,0.173,0.744,0.017,-3.033,-2.659,0.021
1945,17.360,0.660,0.004,0.301,0.613,0.024,-3.270,-2.895,0.022
1946,15.300,0.710,0.004,-0.085,0.692,0.038,-3.070,-2.670,0.179
1947,15.300,0.840,0.010,0.044,0.725,0.028,-2.902,-2.252,0.089
1948,15.200,0.930,0.012,0.041,0.841,0.015,-2.794,-1.893,0.027
1949,16.760,1.140,0.011,0.153,0.796,0.027,-2.688,-1.977,-0.018
1950,20.410,1.470,0.013,0.253,0.723,0.031,-2.631,-1.972,0.058
1951,23.770,1.410,0.017,0.193,0.721,0.036,-2.825,-2.276,0.058
1952,26.570,1.410,0.021,0.142,0.694,0.027,-2.936,-2.404,0.009
1953,24.810,1.450,0.016,-0.028,0.760,0.025,-2.840,-2.291,0.006
1954,35.980,1.540,0.012,0.402,0.604,0.027,-3.151,-2.564,-0.005
1955,45.480,1.640,0.025,0.245,0.510,0.025,-3.323,-2.531,0.004
1956,46.670,1.740,0.032,0.031,0.544,0.026,-3.289,-2.616,0.029
1957,39.990,1.790,0.030,-0.141,0.654,0.035,-3.106,-2.474,0.030
1958,55.210,1.750,0.028,0.326,0.512,0.024,-3.452,-2.950,0.018
1959,59.890,1.830,0.045,0.068,0.458,0.023,-3.488,-2.872,0.015
1960,58.110,1.950,0.023,-0.019,0.550,0.023,-3.395,-2.878,0.015
1961,71.550,2.020,0.026,0.210,0.506,0.022,-3.567,-3.110,0.007
1962,63.100,2.130,0.029,-0.121,0.592,0.020,-3.389,-2.845,0.012
1963,75.020,2.280,0.035,0.168,0.526,0.009,-3.494,-2.926,0.016
1964,84.750,2.500,0.038,0.113,0.487,0.023,-3.523,-2.925,0.012
1965,92.430,2.720,0.044,0.073,0.431,0.021,-3.526,-2.880,0.019
1966,80.330,2.870,0.050,-0.154,0.577,0.017,-3.332,-2.672,0.033
1967,96.470,2.920,0.050,0.164,0.526,0.014,-3.498,-2.896,0.030
1968,103.860,3.070,0.060,0.045,0.505,0.032,-3.521,-2.892,0.047
1969,92.060,3.160,0.078,-0.162,0.651,0.034,-3.372,-2.768,0.061
1970,92.150,3.140,0.049,-0.013,0.646,0.031,-3.379,-2.888,0.055
1971,102.090,3.070,0.040,0.093,0.644,0.034,-3.504,-2.885,0.034
1972,118.050,3.150,0.051,0.122,0.596,0.034,-3.624,-2.912,0.034
1973,97.550,3.380,0.075,-0.229,0.756,0.013,-3.362,-2.481,0.088
1974,68.560,3.600,0.072,-0.371,1.120,0.009,-2.947,-2.043,0.121
1975,90.190,3.680,0.054,0.261,0.876,0.024,-3.199,-2.427,0.070
1976,107.460,4.050,0.044,0.170,0.780,0.029,-3.278,-2.384,0.048
1977,95.100,4.670,0.061,-0.133,0.960,0.030,-3.014,-2.167,0.067
1978,96.110,5.070,0.091,-0.025,1.046,0.015,-2.942,-2.053,0.090
1979,107.940,5.650,0.120,0.053,1.062,0.011,-2.950,-1.983,0.132
1980,135.760,6.160,0.155,0.130,0.892,0.027,-3.093,-2.215,0.123
1981,122.550,6.630,0.109,-0.153,1.061,0.012,-2.917,-2.077,0.089
1982,140.640,6.870,0.079,0.109,0.932,0.003,-3.019,-2.409,0.039
1983,164.930,7.090,0.090,0.115,0.700,0.027,-3.147,-2.464,0.038
1984,167.240,7.530,0.081,-0.020,0.733,-0.027,-3.101,-2.308,0.039
1985,211.280,7.900,0.071,0.202,0.593,-0.019,-3.286,-2.671,0.038
1986,242.170,8.280,0.055,0.116,0.498,-0.011,-3.376,-2.817,0.011
1987,247.080,8.810,0.058,-0.001,0.509,0.013,-3.334,-2.648,0.044
1988,277.720,9.730,0.081,0.074,0.465,-0.022,-3.351,-2.459,0.044
1989,353.400,11.050,0.076,0.198,0.390,-0.012,-3.465,-2.738,0.046
1990,330.220,12.090,0.067,-0.097,0.484,-0.002,-3.307,-2.739,0.061
1991,417.090,12.200,0.041,0.222,0.420,0.032,-3.532,-3.263,0.031
1992,435.710,12.380,0.032,0.040,0.394,0.039,-3.561,-3.128,0.029
1993,466.450,12.580,0.031,0.065,0.305,0.046,-3.613,-3.059,0.027
1994,459.270,13.180,0.056,-0.042,0.292,0.017,-3.551,-2.709,0.027
1995,615.930,13.790,0.051,0.266,0.255,0.016,-3.799,-2.898,0.025
1996,740.740,14.900,0.049,0.156,0.207,0.024,-3.906,-2.951,0.033
1997,970.430,15.490,0.052,0.236,0.179,0.016,-4.138,-3.196,0.017
1998,1229.230,16.200,0.044,0.207,0.174,0.020,-4.329,-3.484,0.016
1999,1469.250,16.690,0.052,0.139,0.147,0.018,-4.478,-3.418,0.027
2000,1320.280,16.270,0.058,-0.151,0.152,-0.006,-4.396,-3.274,0.034
2001,1148.080,15.740,0.017,-0.143,0.131,0.016,-4.290,-3.839,0.016
2002,879.820,16.077,0.012,-0.260,0.295,0.026,-4.002,-3.462,0.024
2003,1111.920,17.385,0.009,0.241,0.219,0.007,-4.158,-3.127,0.019
2004,1211.920,19.440,0.022,0.080,0.271,0.013,-4.133,-3.030,0.033
2005,1248.290,22.220,0.039,0.009,0.313,0.003,-4.029,-2.882,0.034
2006,1418.300,24.881,0.049,0.098,0.282,-0.015,-4.043,-2.856,0.025
2007,1468.360,27.731,0.030,0.024,0.251,-0.042,-3.969,-3.100,0.041
2008,903.250,28.387,0.000,-0.455,0.355,-0.024,-3.460,-4.106,0.001
2009,1115.100,22.407,0.001,0.230,0.326,0.011,-3.907,-3.085,0.027
2010,1257.640,22.730,0.001,0.137,0.358,0.013,-4.013,-2.789,0.015
2011,1257.600,26.425,0.000,0.021,0.357,-0.007,-3.863,-2.672,0.030
2012,1426.190,31.247,0.001,0.147,0.349,-0.012,-3.821,-2.803,0.017
2013,1848.360,34.990,0.001,0.277,0.304,0.012,-3.967,-2.915,0.015